Time:2022-12-08
{login=hengyunabc, contributions=1265}
{login=favoorr, contributions=1}
{login=KATKrazy, contributions=1}
{login=kingyiu87, contributions=1}
{login=LUAgam, contributions=1}
{login=road2master, contributions=1}
{login=liwei1987, contributions=1}
{login=Luyao1271, contributions=1}
{login=MissingNone, contributions=1}
{login=anand1st, contributions=1}
{login=kumar-nitish, contributions=1}
{login=Anonymous, contributions=1}
{login=psxjoy, contributions=1}
{login=paulkennethkent, contributions=1}
{login=PisecesPeng, contributions=1}
{login=wangshao, contributions=1}
{login=theonefx, contributions=1}
{login=Anonymous, contributions=1}
{login=Tryking, contributions=1}
{login=ktz72, contributions=1}
{login=xiangmingzhe0928, contributions=1}
{login=JosephZhang3, contributions=1}
{login=Senorsen, contributions=1}
{login=qqxx6661, contributions=1}
{login=aihes, contributions=1}
{login=aresLD, contributions=1}
{login=blackshy, contributions=1}
{login=sybvip, contributions=1}
{login=changren-wcr, contributions=1}
{login=cici2048, contributions=1}
{login=wcc526, contributions=1}
{login=chunsan, contributions=1}
{login=cy2zq, contributions=1}
{login=dupengcheng, contributions=1}
{login=echi1995, contributions=1}
{login=fangchieh, contributions=1}
{login=Anonymous, contributions=1}
{login=Flyonsnow, contributions=1}
{login=gedingbaod, contributions=1}
{login=wwulfric, contributions=1}
{login=5kywa1ker, contributions=1}
{login=hua5523, contributions=1}
{login=Anonymous, contributions=1}
{login=hydrogen666, contributions=1}
{login=iamgd67, contributions=1}
{login=idelin, contributions=1}
{login=jadestoner, contributions=1}
{login=Anonymous, contributions=1}
{login=joker-9527, contributions=1}
{login=jonzoro, contributions=1}
{login=96loveslife, contributions=1}
{login=xleiy, contributions=1}
{login=lilizhaolilizhao, contributions=1}
{login=uinque, contributions=1}
{login=liuwei536, contributions=1}
{login=Anonymous, contributions=1}
{login=longxu0509, contributions=1}
{login=luoxiaolei, contributions=1}
{login=lyghzh, contributions=1}
{login=lylylyly2, contributions=1}
{login=hqq2023623, contributions=1}
{login=sourcelliu, contributions=1}
{login=mikawudi, contributions=1}
{login=misselvexu, contributions=1}
{login=monomagentaeggroll, contributions=1}
{login=netroby, contributions=1}
{login=northmorn, contributions=1}
{login=nzomkxia, contributions=1}
{login=oxsean, contributions=1}
{login=yamyay, contributions=1}
{login=polarbear567, contributions=1}
{login=iportman, contributions=1}
{login=qianmoke, contributions=1}
{login=iSenninha, contributions=1}
{login=shenhj2016, contributions=1}
{login=shiliyu, contributions=1}
{login=seaswalker, contributions=1}
{login=slievrly, contributions=1}
{login=Anonymous, contributions=1}
{login=Younghusband, contributions=1}
{login=wangdonghello, contributions=1}
{login=Anonymous, contributions=1}
{login=weihubeats, contributions=1}
{login=wochidaxiangchang, contributions=1}
{login=wwt9308040, contributions=1}
{login=zhengzheng1013, contributions=1}
{login=Xxpain, contributions=1}
{login=yab, contributions=1}
{login=Anonymous, contributions=1}
{login=wangshishuifeng2022, contributions=1}
{login=zthreefires, contributions=1}
{login=zhaoyuguang, contributions=1}
{login=zyhui98, contributions=1}
{login=oldratlee, contributions=1}
{login=jufeng98, contributions=1}
{login=zzq0324, contributions=1}
{login=yuanrengu, contributions=1}
{login=ljh19971113, contributions=1}
{login=Shawyeok, contributions=1}
{login=zhengb0, contributions=1}
{login=WildWolfBang, contributions=1}
1834
-spy raye ace-
Openissues: 272
Closedissues: 2051
{comments=203, state=open, durationTime=No}
{comments=64, state=closed, durationTime=6 Days 3 Hours 50 Minutes 23 Seconds}
{comments=35, state=closed, durationTime=218 Days 20 Hours 55 Minutes 22 Seconds}
{comments=31, state=closed, durationTime=9 Days 4 Hours 41 Minutes 10 Seconds}
{comments=31, state=closed, durationTime=360 Days 1 Hours 15 Minutes 34 Seconds}
{comments=30, state=closed, durationTime=371 Days 16 Hours 4 Minutes 44 Seconds}
{comments=28, state=closed, durationTime=11 Days 22 Hours 35 Minutes 47 Seconds}
{comments=28, state=closed, durationTime=376 Days 23 Hours 15 Minutes 35 Seconds}
{comments=27, state=closed, durationTime=13 Days 7 Hours 25 Minutes 41 Seconds}
{comments=24, state=open, durationTime=No}
{comments=23, state=open, durationTime=No}
{comments=23, state=closed, durationTime=90 Days 8 Hours 24 Minutes 24 Seconds}
{comments=23, state=closed, durationTime=12 Days 18 Hours 8 Minutes 27 Seconds}
{comments=22, state=closed, durationTime=41 Days 15 Hours 27 Minutes 54 Seconds}
{comments=22, state=closed, durationTime=6 Days 21 Hours 58 Minutes 54 Seconds}
{comments=21, state=closed, durationTime=9 Days 2 Hours 16 Minutes 14 Seconds}
{comments=20, state=open, durationTime=No}
{comments=19, state=closed, durationTime=0 Days 23 Hours 26 Minutes 3 Seconds}
{comments=18, state=closed, durationTime=112 Days 1 Hours 5 Minutes 46 Seconds}
{comments=18, state=closed, durationTime=3 Days 22 Hours 34 Minutes 39 Seconds}
{comments=18, state=closed, durationTime=5 Days 0 Hours 56 Minutes 50 Seconds}
{comments=17, state=open, durationTime=No}
{comments=17, state=open, durationTime=No}
{comments=17, state=closed, durationTime=31 Days 5 Hours 25 Minutes 14 Seconds}
{comments=17, state=open, durationTime=No}
{comments=16, state=open, durationTime=No}
{comments=16, state=closed, durationTime=141 Days 0 Hours 14 Minutes 8 Seconds}
{comments=16, state=closed, durationTime=265 Days 0 Hours 51 Minutes 34 Seconds}
{comments=15, state=closed, durationTime=2 Days 8 Hours 28 Minutes 26 Seconds}
{comments=14, state=closed, durationTime=3 Days 22 Hours 6 Minutes 9 Seconds}
{comments=14, state=closed, durationTime=179 Days 4 Hours 0 Minutes 4 Seconds}
{comments=14, state=closed, durationTime=106 Days 12 Hours 33 Minutes 12 Seconds}
{comments=14, state=open, durationTime=No}
{comments=14, state=closed, durationTime=6 Days 10 Hours 17 Minutes 40 Seconds}
{comments=13, state=closed, durationTime=92 Days 19 Hours 48 Minutes 1 Seconds}
{comments=13, state=closed, durationTime=3 Days 1 Hours 8 Minutes 48 Seconds}
{comments=13, state=closed, durationTime=140 Days 23 Hours 45 Minutes 15 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=939 Days 8 Hours 24 Minutes 31 Seconds}
{comments=13, state=closed, durationTime=3 Days 20 Hours 6 Minutes 51 Seconds}
{comments=12, state=closed, durationTime=595 Days 10 Hours 58 Minutes 20 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=125 Days 4 Hours 21 Minutes 35 Seconds}
{comments=12, state=closed, durationTime=20 Days 1 Hours 3 Minutes 14 Seconds}
{comments=12, state=closed, durationTime=42 Days 14 Hours 16 Minutes 48 Seconds}
{comments=12, state=closed, durationTime=3 Days 11 Hours 34 Minutes 31 Seconds}
{comments=12, state=closed, durationTime=75 Days 23 Hours 57 Minutes 38 Seconds}
{comments=12, state=closed, durationTime=52 Days 4 Hours 14 Minutes 48 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=13 Days 19 Hours 54 Minutes 37 Seconds}
{comments=11, state=closed, durationTime=27 Days 7 Hours 33 Minutes 33 Seconds}
{comments=11, state=closed, durationTime=4 Days 16 Hours 16 Minutes 34 Seconds}
{comments=11, state=closed, durationTime=1 Days 0 Hours 49 Minutes 53 Seconds}
{comments=11, state=closed, durationTime=1 Days 1 Hours 34 Minutes 6 Seconds}
{comments=11, state=closed, durationTime=52 Days 2 Hours 16 Minutes 29 Seconds}
{comments=11, state=closed, durationTime=33 Days 6 Hours 23 Minutes 59 Seconds}
{comments=11, state=closed, durationTime=0 Days 11 Hours 16 Minutes 17 Seconds}
{comments=11, state=closed, durationTime=70 Days 1 Hours 17 Minutes 39 Seconds}
{comments=11, state=closed, durationTime=904 Days 5 Hours 44 Minutes 58 Seconds}
{comments=10, state=closed, durationTime=0 Days 0 Hours 26 Minutes 4 Seconds}
{comments=10, state=closed, durationTime=0 Days 20 Hours 54 Minutes 32 Seconds}
{comments=10, state=closed, durationTime=18 Days 22 Hours 6 Minutes 6 Seconds}
{comments=10, state=closed, durationTime=0 Days 5 Hours 0 Minutes 44 Seconds}
{comments=10, state=closed, durationTime=0 Days 7 Hours 41 Minutes 58 Seconds}
{comments=10, state=closed, durationTime=3 Days 2 Hours 6 Minutes 53 Seconds}
{comments=9, state=closed, durationTime=13 Days 23 Hours 46 Minutes 17 Seconds}
{comments=9, state=closed, durationTime=5 Days 1 Hours 7 Minutes 36 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=19 Days 23 Hours 17 Minutes 26 Seconds}
{comments=9, state=closed, durationTime=3 Days 0 Hours 8 Minutes 12 Seconds}
{comments=9, state=closed, durationTime=7 Days 0 Hours 12 Minutes 28 Seconds}
{comments=9, state=closed, durationTime=0 Days 0 Hours 19 Minutes 57 Seconds}
{comments=9, state=closed, durationTime=10 Days 12 Hours 52 Minutes 54 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=21 Days 0 Hours 22 Minutes 10 Seconds}
{comments=9, state=closed, durationTime=7 Days 6 Hours 52 Minutes 42 Seconds}
{comments=9, state=closed, durationTime=0 Days 0 Hours 1 Minutes 40 Seconds}
{comments=9, state=closed, durationTime=15 Days 5 Hours 48 Minutes 31 Seconds}
{comments=9, state=closed, durationTime=0 Days 1 Hours 47 Minutes 14 Seconds}
{comments=9, state=closed, durationTime=87 Days 15 Hours 42 Minutes 46 Seconds}
{comments=9, state=closed, durationTime=102 Days 0 Hours 17 Minutes 11 Seconds}
{comments=9, state=closed, durationTime=108 Days 14 Hours 43 Minutes 57 Seconds}
{comments=9, state=closed, durationTime=0 Days 3 Hours 58 Minutes 27 Seconds}
{comments=9, state=closed, durationTime=40 Days 19 Hours 30 Minutes 22 Seconds}
{comments=9, state=closed, durationTime=6 Days 14 Hours 56 Minutes 50 Seconds}
{comments=9, state=closed, durationTime=442 Days 23 Hours 22 Minutes 50 Seconds}
{comments=9, state=closed, durationTime=763 Days 8 Hours 59 Minutes 10 Seconds}
{comments=9, state=closed, durationTime=1 Days 12 Hours 53 Minutes 37 Seconds}
{comments=9, state=closed, durationTime=140 Days 7 Hours 14 Minutes 56 Seconds}
{comments=9, state=closed, durationTime=37 Days 23 Hours 51 Minutes 23 Seconds}
{comments=9, state=closed, durationTime=60 Days 2 Hours 44 Minutes 21 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=0 Days 3 Hours 23 Minutes 32 Seconds}
{comments=9, state=closed, durationTime=6 Days 7 Hours 28 Minutes 43 Seconds}
{comments=9, state=closed, durationTime=2 Days 12 Hours 8 Minutes 23 Seconds}
{comments=9, state=closed, durationTime=5 Days 9 Hours 40 Minutes 9 Seconds}
{comments=8, state=closed, durationTime=73 Days 21 Hours 46 Minutes 29 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=34 Days 13 Hours 4 Minutes 29 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=21 Days 22 Hours 5 Minutes 34 Seconds}
{comments=8, state=closed, durationTime=0 Days 5 Hours 51 Minutes 58 Seconds}
{comments=8, state=closed, durationTime=5 Days 14 Hours 56 Minutes 36 Seconds}
{comments=8, state=closed, durationTime=0 Days 0 Hours 12 Minutes 39 Seconds}
{comments=8, state=closed, durationTime=6 Days 2 Hours 27 Minutes 34 Seconds}
{comments=8, state=closed, durationTime=2 Days 22 Hours 39 Minutes 39 Seconds}
{comments=8, state=closed, durationTime=9 Days 0 Hours 38 Minutes 6 Seconds}
{comments=8, state=closed, durationTime=109 Days 5 Hours 14 Minutes 31 Seconds}
{comments=8, state=closed, durationTime=16 Days 2 Hours 6 Minutes 32 Seconds}
{comments=8, state=closed, durationTime=1 Days 22 Hours 46 Minutes 25 Seconds}
{comments=8, state=closed, durationTime=2 Days 18 Hours 58 Minutes 7 Seconds}
{comments=8, state=closed, durationTime=9 Days 2 Hours 34 Minutes 40 Seconds}
{comments=8, state=closed, durationTime=48 Days 3 Hours 51 Minutes 3 Seconds}
{comments=8, state=closed, durationTime=139 Days 22 Hours 33 Minutes 47 Seconds}
{comments=8, state=closed, durationTime=400 Days 5 Hours 54 Minutes 57 Seconds}
{comments=8, state=closed, durationTime=409 Days 21 Hours 57 Minutes 44 Seconds}
{comments=8, state=closed, durationTime=433 Days 23 Hours 8 Minutes 45 Seconds}
{comments=8, state=closed, durationTime=202 Days 0 Hours 14 Minutes 59 Seconds}
{comments=8, state=closed, durationTime=6 Days 23 Hours 42 Minutes 43 Seconds}
{comments=8, state=closed, durationTime=28 Days 23 Hours 58 Minutes 2 Seconds}
{comments=8, state=closed, durationTime=2 Days 1 Hours 20 Minutes 0 Seconds}
{comments=8, state=closed, durationTime=5 Days 22 Hours 50 Minutes 23 Seconds}
{comments=8, state=closed, durationTime=0 Days 11 Hours 28 Minutes 44 Seconds}
{comments=8, state=closed, durationTime=9 Days 4 Hours 3 Minutes 22 Seconds}
{comments=8, state=closed, durationTime=2 Days 20 Hours 21 Minutes 18 Seconds}
{comments=7, state=closed, durationTime=0 Days 12 Hours 7 Minutes 38 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=52 Days 21 Hours 25 Minutes 25 Seconds}
{comments=7, state=closed, durationTime=1 Days 22 Hours 18 Minutes 37 Seconds}
{comments=7, state=closed, durationTime=10 Days 21 Hours 54 Minutes 48 Seconds}
{comments=7, state=closed, durationTime=3 Days 17 Hours 28 Minutes 22 Seconds}
{comments=7, state=closed, durationTime=33 Days 19 Hours 56 Minutes 53 Seconds}
{comments=7, state=closed, durationTime=25 Days 17 Hours 13 Minutes 7 Seconds}
{comments=7, state=closed, durationTime=18 Days 1 Hours 10 Minutes 43 Seconds}
{comments=7, state=closed, durationTime=5 Days 19 Hours 19 Minutes 14 Seconds}
{comments=7, state=closed, durationTime=21 Days 5 Hours 33 Minutes 49 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=4 Days 20 Hours 3 Minutes 6 Seconds}
{comments=7, state=closed, durationTime=1 Days 5 Hours 51 Minutes 38 Seconds}
{comments=7, state=closed, durationTime=45 Days 6 Hours 6 Minutes 53 Seconds}
{comments=7, state=closed, durationTime=1 Days 0 Hours 59 Minutes 29 Seconds}
{comments=7, state=closed, durationTime=15 Days 12 Hours 1 Minutes 16 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=543 Days 14 Hours 39 Minutes 20 Seconds}
{comments=7, state=closed, durationTime=14 Days 8 Hours 8 Minutes 42 Seconds}
{comments=7, state=closed, durationTime=865 Days 6 Hours 44 Minutes 10 Seconds}
{comments=7, state=closed, durationTime=26 Days 21 Hours 35 Minutes 59 Seconds}
{comments=7, state=closed, durationTime=3 Days 0 Hours 14 Minutes 2 Seconds}
{comments=7, state=closed, durationTime=41 Days 18 Hours 32 Minutes 43 Seconds}
{comments=7, state=closed, durationTime=21 Days 21 Hours 17 Minutes 52 Seconds}
{comments=7, state=closed, durationTime=1 Days 4 Hours 31 Minutes 9 Seconds}
{comments=7, state=closed, durationTime=2 Days 23 Hours 33 Minutes 16 Seconds}
{comments=7, state=closed, durationTime=61 Days 20 Hours 46 Minutes 50 Seconds}
{comments=7, state=closed, durationTime=4 Days 23 Hours 26 Minutes 0 Seconds}
{comments=7, state=closed, durationTime=1 Days 3 Hours 52 Minutes 5 Seconds}
{comments=7, state=closed, durationTime=1 Days 3 Hours 52 Minutes 43 Seconds}
{comments=7, state=closed, durationTime=0 Days 1 Hours 46 Minutes 49 Seconds}
{comments=7, state=closed, durationTime=3 Days 0 Hours 29 Minutes 11 Seconds}
{comments=7, state=closed, durationTime=15 Days 7 Hours 30 Minutes 7 Seconds}
{comments=7, state=closed, durationTime=16 Days 21 Hours 42 Minutes 13 Seconds}
{comments=7, state=closed, durationTime=1 Days 3 Hours 12 Minutes 47 Seconds}
{comments=7, state=closed, durationTime=1 Days 18 Hours 51 Minutes 48 Seconds}
{comments=7, state=closed, durationTime=2 Days 19 Hours 50 Minutes 1 Seconds}
{comments=7, state=closed, durationTime=0 Days 0 Hours 27 Minutes 33 Seconds}
{comments=7, state=closed, durationTime=0 Days 1 Hours 57 Minutes 46 Seconds}
{comments=7, state=closed, durationTime=9 Days 7 Hours 14 Minutes 36 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=67 Days 4 Hours 28 Minutes 7 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=3 Days 5 Hours 12 Minutes 0 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 4 Hours 3 Minutes 44 Seconds}
{comments=6, state=closed, durationTime=0 Days 2 Hours 6 Minutes 1 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=16 Days 21 Hours 11 Minutes 32 Seconds}
{comments=6, state=closed, durationTime=84 Days 4 Hours 52 Minutes 17 Seconds}
{comments=6, state=closed, durationTime=0 Days 18 Hours 31 Minutes 29 Seconds}
{comments=6, state=closed, durationTime=0 Days 0 Hours 40 Minutes 46 Seconds}
{comments=6, state=closed, durationTime=82 Days 18 Hours 32 Minutes 58 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=25 Days 7 Hours 2 Minutes 44 Seconds}
{comments=6, state=closed, durationTime=1 Days 21 Hours 24 Minutes 2 Seconds}
{comments=6, state=closed, durationTime=13 Days 20 Hours 46 Minutes 38 Seconds}
{comments=6, state=closed, durationTime=0 Days 1 Hours 29 Minutes 28 Seconds}
{comments=6, state=closed, durationTime=18 Days 4 Hours 59 Minutes 27 Seconds}
{comments=6, state=closed, durationTime=1 Days 1 Hours 34 Minutes 41 Seconds}
{comments=6, state=closed, durationTime=85 Days 20 Hours 38 Minutes 38 Seconds}
{comments=6, state=closed, durationTime=0 Days 1 Hours 51 Minutes 56 Seconds}
{comments=6, state=closed, durationTime=10 Days 2 Hours 28 Minutes 16 Seconds}
{comments=6, state=closed, durationTime=43 Days 16 Hours 33 Minutes 1 Seconds}
{comments=6, state=closed, durationTime=1 Days 5 Hours 36 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=10 Days 23 Hours 59 Minutes 9 Seconds}
{comments=6, state=closed, durationTime=33 Days 13 Hours 17 Minutes 50 Seconds}
{comments=6, state=closed, durationTime=25 Days 21 Hours 14 Minutes 31 Seconds}
{comments=6, state=closed, durationTime=5 Days 0 Hours 49 Minutes 33 Seconds}
{comments=6, state=closed, durationTime=562 Days 21 Hours 7 Minutes 35 Seconds}
{comments=6, state=closed, durationTime=0 Days 0 Hours 11 Minutes 58 Seconds}
{comments=6, state=closed, durationTime=37 Days 12 Hours 37 Minutes 50 Seconds}
{comments=6, state=closed, durationTime=3 Days 16 Hours 44 Minutes 9 Seconds}
{comments=6, state=closed, durationTime=6 Days 19 Hours 23 Minutes 2 Seconds}
{comments=6, state=closed, durationTime=0 Days 22 Hours 30 Minutes 48 Seconds}
{comments=6, state=closed, durationTime=11 Days 22 Hours 42 Minutes 25 Seconds}
{comments=6, state=closed, durationTime=0 Days 0 Hours 44 Minutes 1 Seconds}
{comments=6, state=closed, durationTime=5 Days 22 Hours 58 Minutes 45 Seconds}
{comments=6, state=closed, durationTime=17 Days 12 Hours 45 Minutes 49 Seconds}
{comments=6, state=closed, durationTime=1 Days 0 Hours 54 Minutes 8 Seconds}
{comments=6, state=closed, durationTime=21 Days 9 Hours 2 Minutes 26 Seconds}
{comments=6, state=closed, durationTime=0 Days 8 Hours 31 Minutes 50 Seconds}
{comments=6, state=closed, durationTime=21 Days 5 Hours 50 Minutes 45 Seconds}
{comments=6, state=closed, durationTime=123 Days 4 Hours 15 Minutes 7 Seconds}
{comments=6, state=closed, durationTime=26 Days 18 Hours 11 Minutes 51 Seconds}
{comments=6, state=closed, durationTime=0 Days 8 Hours 13 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=0 Days 23 Hours 44 Minutes 19 Seconds}
{comments=6, state=closed, durationTime=1 Days 10 Hours 54 Minutes 38 Seconds}
{comments=6, state=closed, durationTime=2 Days 13 Hours 5 Minutes 59 Seconds}
{comments=5, state=closed, durationTime=6 Days 21 Hours 15 Minutes 42 Seconds}
{comments=5, state=closed, durationTime=5 Days 4 Hours 11 Minutes 4 Seconds}
{comments=5, state=closed, durationTime=2 Days 15 Hours 16 Minutes 53 Seconds}
{comments=5, state=closed, durationTime=0 Days 22 Hours 56 Minutes 3 Seconds}
{comments=5, state=closed, durationTime=89 Days 19 Hours 23 Minutes 41 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=3 Days 2 Hours 25 Minutes 35 Seconds}
{comments=5, state=closed, durationTime=42 Days 5 Hours 10 Minutes 23 Seconds}
{comments=5, state=closed, durationTime=58 Days 19 Hours 4 Minutes 14 Seconds}
{comments=5, state=closed, durationTime=0 Days 17 Hours 30 Minutes 28 Seconds}
{comments=5, state=closed, durationTime=0 Days 0 Hours 0 Minutes 6 Seconds}
{comments=5, state=closed, durationTime=11 Days 23 Hours 52 Minutes 25 Seconds}
{comments=5, state=closed, durationTime=27 Days 9 Hours 17 Minutes 46 Seconds}
{comments=5, state=closed, durationTime=0 Days 6 Hours 17 Minutes 36 Seconds}
{comments=5, state=closed, durationTime=0 Days 4 Hours 16 Minutes 58 Seconds}
{comments=5, state=closed, durationTime=0 Days 21 Hours 35 Minutes 31 Seconds}
{comments=5, state=closed, durationTime=13 Days 7 Hours 5 Minutes 1 Seconds}
{comments=5, state=closed, durationTime=2 Days 2 Hours 13 Minutes 49 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=6 Days 7 Hours 18 Minutes 1 Seconds}
{comments=5, state=closed, durationTime=3 Days 3 Hours 13 Minutes 47 Seconds}
{comments=5, state=closed, durationTime=7 Days 0 Hours 53 Minutes 58 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=18 Days 21 Hours 51 Minutes 36 Seconds}
{comments=5, state=closed, durationTime=0 Days 1 Hours 56 Minutes 59 Seconds}
{comments=5, state=closed, durationTime=6 Days 4 Hours 17 Minutes 26 Seconds}
{comments=5, state=closed, durationTime=41 Days 1 Hours 47 Minutes 22 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=40 Days 15 Hours 9 Minutes 42 Seconds}
{comments=5, state=closed, durationTime=0 Days 20 Hours 0 Minutes 53 Seconds}
{comments=5, state=closed, durationTime=10 Days 15 Hours 8 Minutes 35 Seconds}
{comments=5, state=closed, durationTime=758 Days 22 Hours 45 Minutes 23 Seconds}
{comments=5, state=closed, durationTime=52 Days 18 Hours 4 Minutes 25 Seconds}
{comments=5, state=closed, durationTime=0 Days 22 Hours 33 Minutes 39 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=0 Days 17 Hours 9 Minutes 30 Seconds}
{comments=5, state=closed, durationTime=1 Days 16 Hours 18 Minutes 17 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=39 Days 6 Hours 55 Minutes 52 Seconds}
{comments=5, state=closed, durationTime=1 Days 21 Hours 20 Minutes 32 Seconds}
{comments=5, state=closed, durationTime=16 Days 1 Hours 24 Minutes 26 Seconds}
{comments=5, state=closed, durationTime=26 Days 23 Hours 20 Minutes 14 Seconds}
{comments=5, state=closed, durationTime=166 Days 14 Hours 48 Minutes 53 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=119 Days 18 Hours 28 Minutes 45 Seconds}
{comments=5, state=closed, durationTime=68 Days 6 Hours 59 Minutes 49 Seconds}
{comments=5, state=closed, durationTime=784 Days 0 Hours 36 Minutes 55 Seconds}
{comments=5, state=closed, durationTime=0 Days 20 Hours 22 Minutes 31 Seconds}
{comments=5, state=closed, durationTime=156 Days 6 Hours 30 Minutes 25 Seconds}
{comments=5, state=closed, durationTime=13 Days 1 Hours 41 Minutes 58 Seconds}
{comments=5, state=closed, durationTime=26 Days 5 Hours 47 Minutes 29 Seconds}
{comments=5, state=closed, durationTime=1 Days 10 Hours 39 Minutes 51 Seconds}
{comments=5, state=closed, durationTime=0 Days 12 Hours 49 Minutes 1 Seconds}
{comments=5, state=closed, durationTime=57 Days 9 Hours 10 Minutes 18 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=635 Days 5 Hours 1 Minutes 16 Seconds}
{comments=5, state=closed, durationTime=95 Days 4 Hours 38 Minutes 43 Seconds}
{comments=5, state=closed, durationTime=15 Days 5 Hours 24 Minutes 15 Seconds}
{comments=5, state=closed, durationTime=30 Days 10 Hours 33 Minutes 41 Seconds}
{comments=5, state=closed, durationTime=28 Days 4 Hours 58 Minutes 45 Seconds}
{comments=5, state=closed, durationTime=8 Days 6 Hours 35 Minutes 11 Seconds}
{comments=5, state=closed, durationTime=0 Days 4 Hours 43 Minutes 45 Seconds}
{comments=5, state=closed, durationTime=151 Days 20 Hours 55 Minutes 36 Seconds}
{comments=5, state=closed, durationTime=0 Days 0 Hours 13 Minutes 50 Seconds}
{comments=5, state=closed, durationTime=45 Days 2 Hours 39 Minutes 26 Seconds}
{comments=5, state=closed, durationTime=0 Days 21 Hours 32 Minutes 52 Seconds}
{comments=5, state=closed, durationTime=66 Days 9 Hours 26 Minutes 37 Seconds}
{comments=5, state=closed, durationTime=35 Days 7 Hours 40 Minutes 54 Seconds}
{comments=5, state=closed, durationTime=0 Days 3 Hours 49 Minutes 54 Seconds}
