Time:2022-11-28
{login=wenshao, contributions=3043}
{login=quantum0mechanics, contributions=1}
{login=Anonymous, contributions=1}
{login=Anonymous, contributions=1}
{login=Anonymous, contributions=1}
{login=testfixer, contributions=1}
{login=toutoudnf, contributions=1}
{login=Anonymous, contributions=1}
{login=vacuityv, contributions=1}
{login=wangzhaoning, contributions=1}
{login=limpidezza, contributions=1}
{login=Anonymous, contributions=1}
{login=WaTer9527, contributions=1}
{login=ejdbc, contributions=1}
{login=weiwensangsang, contributions=1}
{login=wen0909, contributions=1}
{login=Anonymous, contributions=1}
{login=wkkata, contributions=1}
{login=xdshent, contributions=1}
{login=xiaqingyun, contributions=1}
{login=xladykiller, contributions=1}
{login=eoss1990, contributions=1}
{login=rootcn, contributions=1}
{login=yixblog, contributions=1}
{login=Anonymous, contributions=1}
{login=yuankui, contributions=1}
{login=pymBupt, contributions=1}
{login=Anonymous, contributions=1}
{login=iqiancheng, contributions=1}
{login=zxjpro, contributions=1}
{login=Anonymous, contributions=1}
{login=hulog, contributions=1}
{login=Anonymous, contributions=1}
3971
-spy raye ace-
Openissues: 1976
Closedissues: 2324
{comments=70, state=open, durationTime=No}
{comments=50, state=closed, durationTime=271 Days 11 Hours 32 Minutes 53 Seconds}
{comments=43, state=open, durationTime=No}
{comments=31, state=closed, durationTime=7 Days 1 Hours 58 Minutes 43 Seconds}
{comments=24, state=open, durationTime=No}
{comments=22, state=open, durationTime=No}
{comments=22, state=closed, durationTime=668 Days 22 Hours 40 Minutes 17 Seconds}
{comments=22, state=closed, durationTime=452 Days 8 Hours 35 Minutes 22 Seconds}
{comments=19, state=open, durationTime=No}
{comments=19, state=open, durationTime=No}
{comments=19, state=closed, durationTime=9 Days 19 Hours 37 Minutes 3 Seconds}
{comments=19, state=closed, durationTime=8 Days 9 Hours 17 Minutes 21 Seconds}
{comments=18, state=open, durationTime=No}
{comments=18, state=closed, durationTime=81 Days 0 Hours 41 Minutes 0 Seconds}
{comments=18, state=open, durationTime=No}
{comments=17, state=open, durationTime=No}
{comments=17, state=open, durationTime=No}
{comments=17, state=open, durationTime=No}
{comments=17, state=closed, durationTime=4 Days 2 Hours 8 Minutes 7 Seconds}
{comments=17, state=open, durationTime=No}
{comments=17, state=open, durationTime=No}
{comments=16, state=closed, durationTime=5 Days 5 Hours 17 Minutes 51 Seconds}
{comments=16, state=open, durationTime=No}
{comments=15, state=closed, durationTime=104 Days 22 Hours 46 Minutes 49 Seconds}
{comments=15, state=closed, durationTime=167 Days 11 Hours 30 Minutes 16 Seconds}
{comments=14, state=closed, durationTime=4 Days 17 Hours 54 Minutes 46 Seconds}
{comments=14, state=open, durationTime=No}
{comments=14, state=open, durationTime=No}
{comments=14, state=open, durationTime=No}
{comments=14, state=closed, durationTime=33 Days 19 Hours 56 Minutes 45 Seconds}
{comments=14, state=open, durationTime=No}
{comments=14, state=closed, durationTime=643 Days 0 Hours 44 Minutes 0 Seconds}
{comments=14, state=open, durationTime=No}
{comments=14, state=open, durationTime=No}
{comments=14, state=open, durationTime=No}
{comments=14, state=closed, durationTime=12 Days 6 Hours 35 Minutes 28 Seconds}
{comments=14, state=closed, durationTime=149 Days 19 Hours 52 Minutes 48 Seconds}
{comments=14, state=open, durationTime=No}
{comments=14, state=closed, durationTime=2 Days 7 Hours 44 Minutes 47 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=567 Days 7 Hours 53 Minutes 34 Seconds}
{comments=13, state=closed, durationTime=188 Days 0 Hours 55 Minutes 30 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=9 Days 18 Hours 7 Minutes 55 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=338 Days 10 Hours 23 Minutes 53 Seconds}
{comments=13, state=closed, durationTime=11 Days 2 Hours 42 Minutes 10 Seconds}
{comments=13, state=closed, durationTime=1 Days 14 Hours 25 Minutes 18 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=open, durationTime=No}
{comments=13, state=open, durationTime=No}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=3 Days 1 Hours 20 Minutes 53 Seconds}
{comments=13, state=open, durationTime=No}
{comments=13, state=closed, durationTime=828 Days 22 Hours 5 Minutes 21 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=7 Days 20 Hours 24 Minutes 19 Seconds}
{comments=12, state=closed, durationTime=7 Days 15 Hours 36 Minutes 55 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=37 Days 7 Hours 44 Minutes 53 Seconds}
{comments=12, state=closed, durationTime=304 Days 12 Hours 7 Minutes 30 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=19 Days 22 Hours 11 Minutes 18 Seconds}
{comments=12, state=closed, durationTime=13 Days 7 Hours 49 Minutes 39 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=7 Days 11 Hours 9 Minutes 12 Seconds}
{comments=12, state=closed, durationTime=13 Days 13 Hours 16 Minutes 43 Seconds}
{comments=12, state=closed, durationTime=175 Days 10 Hours 56 Minutes 33 Seconds}
{comments=12, state=closed, durationTime=457 Days 14 Hours 3 Minutes 1 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=13 Days 1 Hours 28 Minutes 46 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=open, durationTime=No}
{comments=11, state=open, durationTime=No}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=6 Days 1 Hours 9 Minutes 11 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=0 Days 23 Hours 12 Minutes 9 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=146 Days 14 Hours 54 Minutes 0 Seconds}
{comments=11, state=closed, durationTime=8 Days 9 Hours 44 Minutes 31 Seconds}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=closed, durationTime=211 Days 6 Hours 13 Minutes 54 Seconds}
{comments=10, state=closed, durationTime=3 Days 12 Hours 44 Minutes 44 Seconds}
{comments=10, state=closed, durationTime=25 Days 17 Hours 59 Minutes 18 Seconds}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=closed, durationTime=44 Days 8 Hours 45 Minutes 28 Seconds}
{comments=10, state=closed, durationTime=40 Days 20 Hours 33 Minutes 42 Seconds}
{comments=10, state=open, durationTime=No}
{comments=10, state=open, durationTime=No}
{comments=10, state=closed, durationTime=1 Days 19 Hours 17 Minutes 10 Seconds}
{comments=10, state=closed, durationTime=31 Days 23 Hours 0 Minutes 43 Seconds}
{comments=10, state=open, durationTime=No}
{comments=10, state=closed, durationTime=818 Days 23 Hours 29 Minutes 6 Seconds}
{comments=10, state=open, durationTime=No}
{comments=10, state=closed, durationTime=3 Days 15 Hours 21 Minutes 42 Seconds}
{comments=10, state=closed, durationTime=2 Days 6 Hours 43 Minutes 3 Seconds}
{comments=10, state=closed, durationTime=34 Days 4 Hours 50 Minutes 59 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=1 Days 4 Hours 40 Minutes 1 Seconds}
{comments=9, state=closed, durationTime=0 Days 1 Hours 0 Minutes 38 Seconds}
{comments=9, state=closed, durationTime=7 Days 7 Hours 47 Minutes 22 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=976 Days 2 Hours 19 Minutes 42 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=0 Days 14 Hours 46 Minutes 6 Seconds}
{comments=9, state=closed, durationTime=22 Days 2 Hours 38 Minutes 8 Seconds}
{comments=9, state=closed, durationTime=4 Days 12 Hours 9 Minutes 58 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=12 Days 16 Hours 14 Minutes 10 Seconds}
{comments=9, state=closed, durationTime=19 Days 0 Hours 6 Minutes 41 Seconds}
{comments=9, state=closed, durationTime=14 Days 0 Hours 38 Minutes 51 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=22 Days 2 Hours 56 Minutes 28 Seconds}
{comments=9, state=open, durationTime=No}
{comments=9, state=closed, durationTime=18 Days 12 Hours 54 Minutes 5 Seconds}
{comments=9, state=closed, durationTime=16 Days 5 Hours 40 Minutes 51 Seconds}
{comments=9, state=closed, durationTime=1237 Days 21 Hours 4 Minutes 27 Seconds}
{comments=9, state=closed, durationTime=0 Days 9 Hours 6 Minutes 32 Seconds}
{comments=9, state=closed, durationTime=343 Days 21 Hours 48 Minutes 15 Seconds}
{comments=9, state=closed, durationTime=295 Days 2 Hours 15 Minutes 33 Seconds}
{comments=9, state=closed, durationTime=7 Days 12 Hours 58 Minutes 0 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=0 Days 5 Hours 55 Minutes 21 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=8 Days 16 Hours 16 Minutes 20 Seconds}
{comments=8, state=closed, durationTime=18 Days 18 Hours 37 Minutes 52 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=38 Days 7 Hours 19 Minutes 27 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=1459 Days 21 Hours 14 Minutes 7 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=2 Days 15 Hours 11 Minutes 56 Seconds}
{comments=8, state=closed, durationTime=8 Days 16 Hours 34 Minutes 6 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=2 Days 5 Hours 25 Minutes 51 Seconds}
{comments=8, state=closed, durationTime=26 Days 14 Hours 19 Minutes 5 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=14 Days 22 Hours 12 Minutes 32 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=33 Days 2 Hours 46 Minutes 41 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=0 Days 1 Hours 18 Minutes 5 Seconds}
{comments=8, state=closed, durationTime=13 Days 6 Hours 31 Minutes 20 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=36 Days 3 Hours 10 Minutes 34 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=13 Days 7 Hours 24 Minutes 46 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=36 Days 1 Hours 12 Minutes 40 Seconds}
{comments=8, state=closed, durationTime=73 Days 7 Hours 32 Minutes 23 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=4 Days 17 Hours 15 Minutes 53 Seconds}
{comments=8, state=closed, durationTime=1 Days 0 Hours 36 Minutes 56 Seconds}
{comments=8, state=open, durationTime=No}
{comments=8, state=closed, durationTime=1 Days 7 Hours 35 Minutes 41 Seconds}
{comments=8, state=closed, durationTime=160 Days 23 Hours 40 Minutes 15 Seconds}
{comments=8, state=closed, durationTime=186 Days 10 Hours 36 Minutes 32 Seconds}
{comments=8, state=closed, durationTime=1 Days 20 Hours 4 Minutes 38 Seconds}
{comments=8, state=closed, durationTime=252 Days 2 Hours 8 Minutes 53 Seconds}
{comments=8, state=closed, durationTime=491 Days 11 Hours 56 Minutes 32 Seconds}
{comments=8, state=closed, durationTime=733 Days 21 Hours 20 Minutes 14 Seconds}
{comments=8, state=closed, durationTime=330 Days 20 Hours 5 Minutes 16 Seconds}
{comments=8, state=closed, durationTime=438 Days 19 Hours 38 Minutes 47 Seconds}
{comments=8, state=closed, durationTime=451 Days 15 Hours 29 Minutes 59 Seconds}
{comments=8, state=closed, durationTime=13 Days 21 Hours 14 Minutes 46 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=40 Days 7 Hours 41 Minutes 55 Seconds}
{comments=7, state=closed, durationTime=1 Days 1 Hours 16 Minutes 54 Seconds}
{comments=7, state=closed, durationTime=2 Days 13 Hours 34 Minutes 9 Seconds}
{comments=7, state=closed, durationTime=3 Days 4 Hours 57 Minutes 55 Seconds}
{comments=7, state=closed, durationTime=7 Days 14 Hours 46 Minutes 56 Seconds}
{comments=7, state=closed, durationTime=4 Days 1 Hours 53 Minutes 17 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=20 Days 23 Hours 31 Minutes 54 Seconds}
{comments=7, state=closed, durationTime=12 Days 19 Hours 45 Minutes 13 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=0 Days 11 Hours 25 Minutes 31 Seconds}
{comments=7, state=closed, durationTime=494 Days 15 Hours 51 Minutes 51 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=594 Days 22 Hours 31 Minutes 39 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=82 Days 19 Hours 3 Minutes 36 Seconds}
{comments=7, state=closed, durationTime=2 Days 7 Hours 36 Minutes 35 Seconds}
{comments=7, state=closed, durationTime=24 Days 9 Hours 25 Minutes 51 Seconds}
{comments=7, state=closed, durationTime=1 Days 12 Hours 12 Minutes 56 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=0 Days 14 Hours 57 Minutes 26 Seconds}
{comments=7, state=closed, durationTime=22 Days 23 Hours 48 Minutes 19 Seconds}
{comments=7, state=closed, durationTime=2 Days 11 Hours 12 Minutes 44 Seconds}
{comments=7, state=closed, durationTime=5 Days 0 Hours 15 Minutes 49 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=0 Days 20 Hours 51 Minutes 20 Seconds}
{comments=7, state=closed, durationTime=7 Days 3 Hours 12 Minutes 15 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=8 Days 15 Hours 3 Minutes 32 Seconds}
{comments=7, state=closed, durationTime=68 Days 6 Hours 4 Minutes 43 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=165 Days 7 Hours 50 Minutes 41 Seconds}
{comments=7, state=closed, durationTime=11 Days 22 Hours 36 Minutes 12 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=21 Days 21 Hours 24 Minutes 51 Seconds}
{comments=7, state=closed, durationTime=3 Days 4 Hours 7 Minutes 9 Seconds}
{comments=7, state=open, durationTime=No}
{comments=7, state=closed, durationTime=1 Days 22 Hours 41 Minutes 3 Seconds}
{comments=7, state=closed, durationTime=0 Days 5 Hours 40 Minutes 27 Seconds}
{comments=7, state=closed, durationTime=6 Days 5 Hours 20 Minutes 59 Seconds}
{comments=7, state=closed, durationTime=82 Days 7 Hours 24 Minutes 52 Seconds}
{comments=7, state=closed, durationTime=177 Days 0 Hours 35 Minutes 33 Seconds}
{comments=7, state=closed, durationTime=215 Days 20 Hours 2 Minutes 8 Seconds}
{comments=7, state=closed, durationTime=263 Days 13 Hours 11 Minutes 8 Seconds}
{comments=7, state=closed, durationTime=431 Days 5 Hours 32 Minutes 42 Seconds}
{comments=7, state=closed, durationTime=35 Days 11 Hours 9 Minutes 22 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=24 Days 12 Hours 51 Minutes 54 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=12 Days 2 Hours 35 Minutes 23 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 7 Hours 3 Minutes 12 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=5 Days 5 Hours 7 Minutes 5 Seconds}
{comments=6, state=closed, durationTime=11 Days 7 Hours 39 Minutes 50 Seconds}
{comments=6, state=closed, durationTime=2 Days 15 Hours 55 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=2 Days 23 Hours 37 Minutes 18 Seconds}
{comments=6, state=closed, durationTime=3 Days 15 Hours 35 Minutes 15 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=30 Days 0 Hours 38 Minutes 49 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 20 Hours 32 Minutes 42 Seconds}
{comments=6, state=closed, durationTime=31 Days 2 Hours 54 Minutes 54 Seconds}
{comments=6, state=closed, durationTime=283 Days 12 Hours 21 Minutes 42 Seconds}
{comments=6, state=closed, durationTime=3 Days 16 Hours 29 Minutes 5 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=22 Days 3 Hours 4 Minutes 53 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=309 Days 23 Hours 38 Minutes 57 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=544 Days 15 Hours 55 Minutes 12 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=13 Days 13 Hours 11 Minutes 10 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=14 Days 5 Hours 17 Minutes 27 Seconds}
{comments=6, state=closed, durationTime=3 Days 21 Hours 6 Minutes 22 Seconds}
{comments=6, state=closed, durationTime=16 Days 8 Hours 27 Minutes 24 Seconds}
{comments=6, state=closed, durationTime=10 Days 23 Hours 2 Minutes 20 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=4 Days 6 Hours 38 Minutes 55 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 3 Hours 49 Minutes 7 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=3 Days 1 Hours 48 Minutes 11 Seconds}
{comments=6, state=closed, durationTime=1532 Days 3 Hours 25 Minutes 50 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=12 Days 5 Hours 14 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=2 Days 0 Hours 23 Minutes 21 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=0 Days 21 Hours 18 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=813 Days 17 Hours 21 Minutes 32 Seconds}
{comments=6, state=closed, durationTime=6 Days 2 Hours 5 Minutes 29 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=86 Days 7 Hours 16 Minutes 16 Seconds}
{comments=6, state=closed, durationTime=0 Days 1 Hours 11 Minutes 56 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=11 Days 2 Hours 27 Minutes 34 Seconds}
{comments=6, state=closed, durationTime=12 Days 8 Hours 9 Minutes 52 Seconds}
{comments=6, state=closed, durationTime=0 Days 12 Hours 49 Minutes 49 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 19 Hours 28 Minutes 59 Seconds}
{comments=6, state=closed, durationTime=4 Days 6 Hours 46 Minutes 40 Seconds}
{comments=6, state=closed, durationTime=97 Days 2 Hours 9 Minutes 45 Seconds}
{comments=6, state=closed, durationTime=23 Days 0 Hours 27 Minutes 23 Seconds}
{comments=6, state=closed, durationTime=3 Days 7 Hours 59 Minutes 30 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 22 Hours 27 Minutes 59 Seconds}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=open, durationTime=No}
{comments=6, state=closed, durationTime=1 Days 22 Hours 30 Minutes 28 Seconds}
{comments=6, state=closed, durationTime=12 Days 12 Hours 14 Minutes 23 Seconds}
{comments=6, state=closed, durationTime=64 Days 21 Hours 30 Minutes 13 Seconds}
